,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tiksi,0,RU,1552707945,63,71.64,128.87,-14.16,3.96
1,Hermanus,0,ZA,1552707922,90,-34.42,19.24,71.01,4.0
2,Mataura,0,NZ,1552707605,73,-46.19,168.86,61.0,11.01
3,Yellowknife,75,CA,1552707817,92,62.45,-114.38,18.0,5.82
4,Cape Town,0,ZA,1552707949,88,-33.93,18.42,69.01,8.05
5,Agadez,0,NE,1552707951,16,16.97,7.99,72.6,15.48
6,Vaini,0,IN,1552705200,34,15.34,74.49,78.8,4.7
7,Chokurdakh,68,RU,1552707954,79,70.62,147.9,-12.54,4.74
8,Henties Bay,92,NA,1552705327,94,-22.12,14.28,61.0,5.01
9,Albany,20,US,1552707922,61,42.65,-73.75,48.99,13.87
10,Arraial do Cabo,80,BR,1552707957,100,-22.97,-42.02,77.19,2.17
11,Lagoa,0,PT,1552707958,50,37.14,-8.45,63.0,8.05
12,New Norfolk,20,AU,1552707915,52,-42.78,147.06,73.0,12.75
13,Kavieng,80,PG,1552707961,99,-2.57,150.8,83.94,11.79
14,Avarua,68,CK,1552705200,83,-21.21,-159.78,78.8,14.99
15,Raudeberg,92,NO,1552707907,86,61.99,5.14,39.2,9.17
16,Kodiak,1,US,1552707949,43,39.95,-94.76,36.0,5.82
17,Xai-Xai,92,MZ,1552707966,97,-25.04,33.64,77.46,11.45
18,Alice Springs,12,AU,1552705200,13,-23.7,133.88,91.4,10.29
19,Grand-Lahou,8,CI,1552707968,93,5.24,-5.0,79.98,5.08
20,Raymond Terrace,90,AU,1552707949,94,-32.76,151.75,75.99,8.05
21,Bethel,1,US,1552704960,74,60.79,-161.76,28.4,12.75
22,Borazjan,92,IR,1552705200,77,29.27,51.21,62.6,3.29
23,Terre Haute,1,US,1552707972,69,39.47,-87.41,39.0,9.17
24,Santa Cruz,90,US,1552707836,41,36.97,-122.03,61.0,2.84
25,Faanui,12,PF,1552707978,100,-16.48,-151.75,83.76,3.4
